EmployeeID,EmployeeName,Salary,Position,State,DateOfBirth,Gender,MaritalStatus,HiringDate,TerminationDate,EmploymentStatus,Department,RecruitmentSource,PerformanceScore,EngagementSurvey,EmployeeSatisfaction,HireYear
214,Zachary Stewart,93093,Data Analyst,MA,1984-09-05,M,Married,2014-12-01,5/1/2016,Voluntarily Terminated,IT/IS,Employee Referral,Fully Meets,4.7,Good,2014
220,Oliver Sanchez,74226,Production Technician II,MA,1979-03-10,F,Married,2012-04-02,NULL,Active,Production,LinkedIn,Fully Meets,4.3,Average,2012
271,Akosua Adu,60120,Area Sales Manager,MT,1989-05-12,F,Married,2010-09-27,NULL,Active,Sales,Indeed,Fully Meets,4.1,Good,2010
272,Kobby Osei,63682,Production Manager,MA,1978-03-28,F,Married,2009-01-08,NULL,Active,Production,Indeed,Fully Meets,3.73,Good,2009
276,Kwame Addo,90100,BI Developer,MA,1987-10-24,M,Married,2017-04-20,NULL,Active,IT/IS,Indeed,Fully Meets,3.4,Average,2017
280,Nana Boateng,48413,Production Technician I,MA,1965-05-09,F,Single,2011-07-05,9/5/2016,Voluntarily Terminated,Production,Indeed,Fully Meets,3.98,Good,2011
295,Akosua Badu,62068,Production Technician I,MA,1985-04-06,F,Single,2015-07-05,NULL,Active,Production,LinkedIn,Fully Meets,3.21,Average,2015
298,Kwame Bonsu,50274,Production Technician I,MA,1980-08-02,F,Single,2012-08-13,9/1/2015,Voluntarily Terminated,Production,CareerBuilder,Needs Improvement,2.5,Average,2012
304,Ama Asante,59728,Production Technician I,MA,1969-10-02,F,Single,2012-01-09,6/27/2015,Voluntarily Terminated,Production,Diversity Job Fair,Fully Meets,4.3,Good,2012
306,Abena Yeboah,60446,Production Technician II,MA,1985-04-20,F,Single,2014-09-29,NULL,Active,Production,LinkedIn,Fully Meets,3.4,Good,2014
13,Andrew Jackson,92328,Data Analyst,TX,1988-07-04,M,Divorced,2014-11-10,NULL,Active,IT/IS,Diversity Job Fair,Exceeds,4.28,Good,2014
33,Christopher Wilson,74326,Area Sales Manager,VA,1964-06-01,F,Married,2011-08-15,8/2/2014,Voluntarily Terminated,Sales,Google Search,Fully Meets,3.14,Excellent,2011
63,Jacob Murphy,57583,Production Technician I,MA,1978-11-05,F,Married,2012-07-02,NULL,Active,Production,Indeed,Fully Meets,5.0,Average,2012
93,Joshua Rodriguez,58530,Production Technician I,MA,1981-03-16,F,Married,2012-01-09,NULL,Active,Production,Google Search,Fully Meets,5.0,Excellent,2012
103,Christopher Martinez,51337,Production Technician I,MA,1990-10-01,F,Married,2015-03-30,NULL,Active,Production,LinkedIn,Fully Meets,3.73,Average,2015
112,Jennifer Parker,59892,Production Technician I,MA,1969-09-29,M,Divorced,2011-07-11,NULL,Active,Production,Diversity Job Fair,Exceeds,4.5,Good,2011
117,William Carter,66149,Production Technician II,MA,1983-12-08,F,Separated,2013-09-30,NULL,Active,Production,Google Search,Fully Meets,4.4,Excellent,2013
129,Michael Phillips,70545,Area Sales Manager,NH,1988-09-14,M,Married,2014-08-18,NULL,Active,Sales,Indeed,Fully Meets,3.6,Excellent,2014
142,Elizabeth Campbell,60724,Production Technician II,MA,1986-11-06,F,Divorced,2011-07-05,NULL,Active,Production,LinkedIn,Exceeds,4.6,Good,2011
148,Lindsey Collins,68999,Sales Manager,PA,1989-11-11,F,Single,2011-11-07,4/24/2014,Voluntarily Terminated,Sales,Google Search,Fully Meets,4.5,Excellent,2011
160,Julian Sanchez,46120,Production Technician I,MA,1986-12-09,M,Married,2012-07-09,NULL,Active,Production,LinkedIn,Fully Meets,5.0,Excellent,2012
161,Grace Roberts,64520,Accountant I,MA,1984-04-26,M,Divorced,2014-01-06,NULL,Active,Admin Offices,Website,Fully Meets,5.0,Good,2014
166,Samuel Rivera,64738,Production Technician I,MA,1982-09-02,M,Married,2012-05-14,NULL,Active,Production,Google Search,Fully Meets,4.1,Average,2012
180,Daniel Ramirez,61349,Production Technician I,MA,1974-11-07,F,Married,2013-11-11,NULL,Active,Production,LinkedIn,Fully Meets,4.1,Average,2013
192,Matthew Green,72460,Production Technician II,MA,1970-04-24,F,Single,2013-05-13,NULL,Active,Production,Indeed,Exceeds,4.7,Average,2013
213,Hazel Watson,108987,Software Engineer,MA,1979-02-20,M,Single,2011-11-07,9/7/2015,Voluntarily Terminated,Engineering,Diversity Job Fair,Exceeds,5.0,Excellent,2011
215,Audrey Anderson,53564,Production Technician I,MA,1988-03-17,M,Single,2011-01-10,12/28/2017,Voluntarily Terminated,Production,Google Search,Needs Improvement,3.54,Excellent,2011
265,Adwoa Agyemang,65714,Production Manager,MA,1975-09-30,F,Married,2012-10-02,NULL,Active,Production,LinkedIn,Fully Meets,4.83,Excellent,2012
307,Nana Asare,65893,Production Technician II,MA,1985-05-11,M,Single,2014-07-07,NULL,Active,Production,LinkedIn,Fully Meets,4.07,Good,2014
12,Lauren Thomas,47211,Production Technician I,MA,1974-02-21,M,Married,2012-04-02,9/19/2016,Voluntarily Terminated,Production,Diversity Job Fair,Fully Meets,4.2,Average,2012
41,Jonathan Thomas,71860,Area Sales Manager,VT,1963-05-15,F,Single,2014-08-18,NULL,Active,Sales,Indeed,Fully Meets,5.0,Excellent,2014
54,Katie Wright,59144,Production Technician I,MA,1979-08-12,M,Single,2011-07-11,9/23/2016,Terminated for Cause,Production,LinkedIn,Needs Improvement,2.0,Average,2011
55,Kevin Scott,68051,Production Manager,MA,1975-12-17,M,Divorced,2010-07-20,NULL,Active,Production,CareerBuilder,Needs Improvement,4.13,Low,2010
61,Alexander Murphy,65729,Sales Manager,VT,1990-04-19,F,Single,2014-05-05,NULL,Active,Sales,Indeed,Fully Meets,4.62,Good,2014
65,Samuel Wright,56991,Production Technician I,MA,1988-04-15,M,Married,2018-07-09,NULL,Active,Production,Indeed,Fully Meets,4.3,Good,2018
66,Maria Phillips,55722,Production Technician I,MA,1977-10-31,M,Married,2011-05-16,6/8/2016,Voluntarily Terminated,Production,Indeed,Fully Meets,5.0,Good,2011
74,Catherine Morris,61584,Production Technician I,MA,1978-12-02,F,Married,2013-01-07,NULL,Active,Production,Indeed,Needs Improvement,3.88,Good,2013
75,Benjamin Turner,46335,Production Technician I,MA,1986-10-07,F,Single,2012-04-02,NULL,Active,Production,CareerBuilder,Fully Meets,3.4,Excellent,2012
89,Jonathan Turner,65902,Production Technician II,MA,1987-09-27,F,Single,2014-02-17,NULL,Active,Production,LinkedIn,Fully Meets,4.0,Good,2014
98,Amber Patterson,99351,Sr. Accountant,MA,1979-04-16,F,Married,2009-01-05,NULL,Active,Admin Offices,Other,Fully Meets,5.0,Average,2009
109,Joseph Nelson,114800,Database Administrator,MA,1971-10-23,F,Single,2015-02-16,3/15/2015,Terminated for Cause,IT/IS,Indeed,Fully Meets,4.6,Good,2015
127,David Parker,46998,Production Technician I,MA,1984-01-04,M,Single,2012-08-13,NULL,Active,Production,Google Search,Fully Meets,4.17,Good,2012
138,Melissa Bennett,83082,Production Manager,MA,1976-11-15,M,Married,2011-02-21,9/24/2012,Voluntarily Terminated,Production,Indeed,Needs Improvement,2.34,Low,2011
147,Kevin Turner,61154,Production Technician I,MA,1986-04-17,F,Married,2011-01-10,4/1/2016,Voluntarily Terminated,Production,CareerBuilder,Fully Meets,4.0,Good,2011
149,Michael Thompson,50482,Production Technician I,MA,1976-01-19,M,Single,2013-09-30,NULL,Active,Production,Indeed,Fully Meets,3.07,Good,2013
184,Noah Ward,62810,Production Technician I,MA,1987-01-07,F,Married,2013-01-07,NULL,Active,Production,CareerBuilder,Fully Meets,3.93,Average,2013
191,Harper Morris,157000,IT Manager - Infra,MA,1986-10-05,M,Married,2012-02-15,NULL,Active,IT/IS,Diversity Job Fair,Needs Improvement,2.39,Average,2012
228,Elijah Adams,83363,Software Engineer,MA,1984-11-06,M,Married,2011-02-21,8/15/2015,Voluntarily Terminated,Engineering,Diversity Job Fair,Fully Meets,4.15,Good,2011
229,Lily Bryant,95920,BI Developer,MA,1980-05-12,F,Married,2016-10-02,NULL,Active,IT/IS,Indeed,Fully Meets,4.4,Good,2016
236,Benjamin Gonzalez,50428,Production Technician I,MA,1974-01-07,M,Married,2011-01-10,1/26/2016,Voluntarily Terminated,Production,Indeed,Fully Meets,5.0,Average,2011
308,Yaa Yeboah,48513,Production Technician I,MA,1982-05-04,F,Single,2008-09-02,9/29/2015,Voluntarily Terminated,Production,Google Search,PIP,3.2,Low,2008
18,Amanda White,59026,Production Technician I,MA,1970-10-27,F,Single,2011-04-04,NULL,Active,Production,Google Search,Fully Meets,5.0,Excellent,2011
38,Christina Allen,93396,Software Engineer,MA,1987-04-05,F,Single,2013-11-11,NULL,Active,Engineering,Indeed,Fully Meets,4.96,Good,2013
47,Justin Lewis,64786,Production Technician I,MA,1983-08-27,F,Single,2011-06-27,11/15/2015,Voluntarily Terminated,Production,Indeed,Fully Meets,4.3,Good,2011
57,Thomas Rodriguez,63381,Production Technician I,MA,1977-03-31,F,Married,2015-01-05,NULL,Active,Production,Indeed,Fully Meets,4.73,Excellent,2015
71,Eric Mitchell,96820,BI Developer,MA,1983-09-04,M,Single,2017-02-15,NULL,Active,IT/IS,Indeed,Fully Meets,3.01,Excellent,2017
84,Courtney Adams,56847,Production Technician II,MA,1989-08-25,F,Separated,2014-07-07,NULL,Active,Production,Indeed,PIP,3.0,Very Low,2014
88,Rachel Russell,71776,Production Technician II,MA,1978-09-22,F,Married,2014-07-07,NULL,Active,Production,LinkedIn,Fully Meets,4.4,Excellent,2014
94,Kimberly James,72609,Production Technician II,MA,1981-10-01,M,Single,2011-05-16,6/24/2013,Voluntarily Terminated,Production,Google Search,Fully Meets,4.76,Excellent,2011
136,Jessica Wright,64995,Production Technician II,MA,1992-05-07,F,Separated,2015-06-05,NULL,Active,Production,Indeed,Fully Meets,4.5,Average,2015
139,William Adams,51908,Production Technician I,MA,1991-01-28,F,Single,2013-08-19,NULL,Active,Production,Indeed,Fully Meets,3.99,Average,2013
152,Calvin Brooks,54005,Production Technician I,MA,1973-12-08,F,Married,2011-09-26,6/4/2015,Voluntarily Terminated,Production,Google Search,Fully Meets,3.6,Excellent,2011
155,Lily Anderson,63973,Production Technician I,MA,1980-02-02,M,Married,2011-01-10,NULL,Active,Production,Indeed,Fully Meets,3.38,Average,2011
162,Isaac Foster,61962,Production Technician II,MA,1984-05-09,M,Married,2012-04-02,4/15/2013,Voluntarily Terminated,Production,Google Search,Fully Meets,4.9,Average,2012
174,Caleb Morgan,52057,Production Technician I,MA,1975-10-22,F,Married,2015-02-16,NULL,Active,Production,Website,Fully Meets,5.0,Average,2015
183,Isabella Simmons,55315,Production Technician II,MA,1987-05-21,F,Single,2015-03-30,NULL,Active,Production,LinkedIn,Fully Meets,5.0,Excellent,2015
203,Brooklyn Peterson,63695,Area Sales Manager,GA,1989-03-31,F,Single,2013-07-08,NULL,Active,Sales,Indeed,Fully Meets,5.0,Excellent,2013
204,Nathan Clark,62061,Production Technician I,MA,1984-07-07,F,Single,2013-07-08,NULL,Active,Production,LinkedIn,Fully Meets,3.6,Excellent,2013
219,Lila Bennett,74669,Production Manager,MA,1977-05-09,F,Married,2010-10-25,5/18/2016,Voluntarily Terminated,Production,Indeed,Fully Meets,4.16,Excellent,2010
309,Kojo Ofori,220450,CIO,MA,1979-08-30,F,Single,2010-04-10,NULL,Active,IT/IS,Employee Referral,Exceeds,4.6,Excellent,2010
6,Jessica Davis,57568,Production Technician I,MA,1977-05-22,F,Single,2012-01-09,NULL,Active,Production,LinkedIn,Exceeds,5.0,Excellent,2012
8,Ashley Wilson,59365,Production Technician I,MA,1983-02-18,M,Widowed,2013-09-30,NULL,Active,Production,Employee Referral,Fully Meets,5.0,Good,2013
19,Joshua Anderson,110000,Database Administrator,MA,1986-04-04,F,Single,2014-07-07,9/12/2015,Terminated for Cause,IT/IS,Google Search,Fully Meets,4.5,Good,2014
21,Robert Davis,51044,Production Technician I,MA,1970-12-22,M,Single,2012-04-02,NULL,Active,Production,Google Search,Fully Meets,5.0,Average,2012
23,William Johnson,62910,Production Technician I,MA,1989-09-01,F,Married,2014-07-07,NULL,Active,Production,Indeed,Exceeds,5.0,Average,2014
24,Emily Wilson,66441,Production Technician II,MA,1990-09-21,F,Single,2011-04-04,NULL,Active,Production,CareerBuilder,Needs Improvement,2.0,Average,2011
32,Tiffany Robinson,64375,Production Technician I,MA,1969-10-30,F,Separated,2013-11-11,NULL,Active,Production,Diversity Job Fair,Fully Meets,3.5,Excellent,2013
39,Andrew Davis,52846,Production Technician I,MA,1983-02-02,M,Single,2014-03-31,NULL,Active,Production,LinkedIn,Fully Meets,4.43,Average,2014
42,Amy Green,61656,Production Technician I,MA,1951-01-02,F,Single,2014-09-29,NULL,Active,Production,Google Search,Fully Meets,5.0,Good,2014
43,Anthony Garcia,110929,BI Director,MA,1972-02-09,M,Married,2016-09-06,NULL,Active,IT/IS,Indeed,Fully Meets,4.5,Excellent,2016
56,Laura Carter,170500,Director of Operations,MA,1983-03-19,M,Single,2009-01-05,NULL,Active,Production,Indeed,Exceeds,3.7,Excellent,2009
69,Nicholas Green,58275,Production Technician II,MA,1951-02-25,F,Separated,2011-04-04,11/4/2015,Voluntarily Terminated,Production,Google Search,Fully Meets,4.62,Excellent,2011
91,Robert Roberts,64057,Production Technician I,MA,1989-10-18,M,Married,2015-05-11,NULL,Active,Production,Indeed,PIP,1.56,Excellent,2015
175,Sofia Wright,47434,Production Technician I,MA,1973-02-14,F,Single,2011-11-07,11/14/2015,Voluntarily Terminated,Production,Diversity Job Fair,Exceeds,5.0,Good,2011
177,Victoria Parker,45395,Production Technician I,MA,1986-07-07,F,Single,2014-01-06,NULL,Active,Production,LinkedIn,Fully Meets,4.6,Good,2014
196,Joseph King,74417,Production Technician II,MA,1974-12-01,M,Separated,2013-05-13,NULL,Active,Production,LinkedIn,Fully Meets,4.29,Excellent,2013
210,Gabriel Thompson,53060,Production Technician I,MA,1979-11-24,M,Single,2014-02-17,NULL,Active,Production,LinkedIn,Needs Improvement,4.25,Average,2014
232,Owen Turner,45115,Production Technician I,MA,1982-07-22,M,Divorced,2011-05-16,1/15/2016,Voluntarily Terminated,Production,LinkedIn,Fully Meets,5.0,Good,2011
260,Kojo Ansah,55000,Administrative Assistant,MA,1987-06-14,F,Married,2011-09-26,9/25/2013,Voluntarily Terminated,Admin Offices,Diversity Job Fair,Fully Meets,3.8,Good,2011
269,Aba Obeng,63003,Accountant I,MA,1986-09-01,M,Single,2014-09-29,NULL,Active,Admin Offices,Indeed,Fully Meets,3.9,Excellent,2014
273,Adwoa Asare,63025,Production Technician I,MA,1982-10-07,M,Married,2015-01-05,NULL,Active,Production,Google Search,Fully Meets,4.36,Excellent,2015
279,Ama Mensah,58370,Area Sales Manager,OR,1965-05-07,F,Single,2014-09-29,NULL,Active,Sales,Indeed,Fully Meets,3.69,Average,2014
305,Kofi Mensah,70507,Production Technician II,MA,1958-11-07,M,Single,2013-01-07,2/21/2016,Voluntarily Terminated,Production,LinkedIn,Exceeds,5.0,Average,2013
26,Nicole Lewis,103613,Enterprise Architect,CT,1964-07-30,M,Single,2014-02-17,2/19/2016,Terminated for Cause,IT/IS,LinkedIn,Fully Meets,3.5,Excellent,2014
35,Nicholas Walker,62162,Production Technician II,MA,1977-08-19,M,Married,2011-04-04,NULL,Active,Production,Indeed,Fully Meets,3.25,Excellent,2011
37,Matthew Evans,72640,Production Manager,MA,1983-08-09,M,Single,2016-01-28,NULL,Active,Production,Indeed,Exceeds,5.0,Average,2016
48,Vanessa Hall,64816,Production Technician I,MA,1988-05-31,F,Single,2011-10-03,NULL,Active,Production,Indeed,Fully Meets,3.58,Excellent,2011
78,Stephanie Price,74241,Area Sales Manager,CA,1988-11-08,F,Single,2011-01-10,NULL,Active,Sales,Indeed,Exceeds,4.77,Excellent,2011
92,Megan Phillips,53366,Network Engineer,MA,1987-06-18,M,Single,2015-03-30,NULL,Active,IT/IS,LinkedIn,PIP,1.2,Average,2015
101,Brian Clark,52249,Production Technician I,MA,1985-09-15,M,Single,2015-03-30,NULL,Active,Production,Employee Referral,Fully Meets,4.5,Average,2015
122,Amanda Hayes,71707,Area Sales Manager,TN,1969-02-09,M,Single,2012-03-07,10/31/2014,Voluntarily Terminated,Sales,LinkedIn,Fully Meets,4.5,Excellent,2012
163,Olivia Henderson,81584,Senior BI Developer,MA,1987-06-14,F,Single,2016-10-02,NULL,Active,IT/IS,Indeed,Fully Meets,4.1,Excellent,2016
178,Alexander Jenkins,62385,Production Technician II,MA,1976-08-25,F,Married,2016-05-11,NULL,Active,Production,LinkedIn,Fully Meets,5.0,Average,2016
185,Riley Rodriguez,63291,Area Sales Manager,TX,1984-07-01,M,Married,2016-07-06,NULL,Active,Sales,Website,Fully Meets,3.4,Good,2016
187,Aurora Hayes,55688,Production Technician I,MA,1976-09-22,F,Single,2015-03-30,NULL,Active,Production,CareerBuilder,Fully Meets,5.0,Good,2015
230,Gabriel Carter,61729,Production Technician I,MA,1984-12-31,M,Divorced,2011-09-26,4/7/2018,Voluntarily Terminated,Production,Indeed,Fully Meets,3.8,Excellent,2011
238,Mason Jenkins,63353,Production Technician I,MA,1985-01-28,M,Widowed,2013-07-08,NULL,Active,Production,Employee Referral,Exceeds,3.6,Excellent,2013
247,Sofia Hayes,47750,Production Technician I,MA,1968-06-06,F,Single,2016-07-04,NULL,Active,Production,Diversity Job Fair,Needs Improvement,2.6,Good,2016
248,Henry Richardson,46428,Production Technician I,MA,1974-12-21,M,Single,2009-01-05,7/30/2018,Voluntarily Terminated,Production,Google Search,Fully Meets,4.6,Excellent,2009
252,Kwame Adu,50923,Production Technician I,MA,1975-03-10,F,Single,2013-09-30,NULL,Active,Production,Google Search,Fully Meets,5.0,Excellent,2013
299,Kojo Anane,84903,Senior BI Developer,MA,1981-07-08,M,Single,2017-02-15,NULL,Active,IT/IS,Indeed,Fully Meets,3.42,Good,2017
301,Kwesi Arthur,58371,Production Technician I,MA,1987-05-24,M,Single,2011-01-10,5/15/2014,Voluntarily Terminated,Production,LinkedIn,Fully Meets,5.0,Excellent,2011
14,Elizabeth Thompson,58709,Production Technician I,MA,1983-07-20,M,Single,2012-02-20,NULL,Active,Production,Google Search,Fully Meets,4.6,Good,2012
20,Stephanie Martinez,53250,Production Technician I,MA,1979-04-06,M,Single,2013-07-08,NULL,Active,Production,LinkedIn,Fully Meets,4.2,Good,2013
40,Heather King,100031,Sr. DBA,MA,1986-06-06,F,Single,2016-06-30,NULL,Active,IT/IS,LinkedIn,Fully Meets,5.0,Excellent,2016
60,Jennifer Hughes,92329,Sr. Network Engineer,CT,1965-09-09,M,Single,2014-11-10,NULL,Active,IT/IS,Employee Referral,Fully Meets,5.0,Average,2014
82,Victoria Turner,48888,Production Technician I,MA,1974-05-31,M,Single,2014-11-10,NULL,Active,Production,LinkedIn,Fully Meets,4.7,Excellent,2014
118,Emily Lewis,49256,Production Technician I,MA,1974-10-09,F,Married,2013-08-19,NULL,Active,Production,LinkedIn,Fully Meets,4.1,Excellent,2013
121,Daniel Hernandez,99020,BI Developer,MA,1989-06-30,M,Married,2017-04-20,NULL,Active,IT/IS,Indeed,Fully Meets,4.2,Excellent,2017
133,Jason Garcia,49920,Administrative Assistant,MA,1985-09-16,F,Married,2015-02-16,4/15/2015,Terminated for Cause,Admin Offices,Indeed,Fully Meets,3.24,Average,2015
140,Samantha Morris,61242,Production Technician I,MA,1972-09-11,F,Single,2012-11-05,NULL,Active,Production,LinkedIn,Fully Meets,4.1,Average,2012
145,Alexander Martin,105700,Database Administrator,MA,1986-11-07,F,Married,2015-01-05,NULL,Active,IT/IS,Indeed,Fully Meets,3.75,Average,2015
168,Ethan Adams,77915,Production Manager,MA,1981-10-26,F,Married,2013-09-30,NULL,Active,Production,Website,Exceeds,4.1,Average,2013
173,Abigail Reed,73330,Production Technician II,MA,1982-03-28,F,Single,2013-08-19,NULL,Active,Production,Indeed,Exceeds,4.2,Good,2013
176,Henry Gonzalez,52788,Production Technician I,MA,1972-11-09,M,Widowed,2012-09-24,9/26/2017,Voluntarily Terminated,Production,Indeed,Fully Meets,3.08,Good,2012
181,Stella Nelson,105688,Software Engineer,MA,1987-11-07,F,Single,2013-11-11,NULL,Active,Engineering,Google Search,Fully Meets,4.5,Excellent,2013
224,James Clarke,61844,Area Sales Manager,KY,1988-08-29,F,Married,2012-01-09,NULL,Active,Sales,Website,Fully Meets,4.2,Excellent,2012
245,Abigail Rodriguez,148999,IT Manager - DB,MA,1964-01-04,M,Divorced,2012-01-09,11/4/2015,Voluntarily Terminated,IT/IS,Diversity Job Fair,Fully Meets,4.3,Good,2012
257,Esi Amponsah,63878,Production Technician II,MA,1987-11-25,F,Single,2009-10-26,4/8/2015,Voluntarily Terminated,Production,CareerBuilder,Fully Meets,4.68,Good,2009
259,Ama Gyasi,72992,Sales Manager,MA,1984-08-16,M,Divorced,2014-05-18,NULL,Active,Sales,Diversity Job Fair,Needs Improvement,2.4,Good,2014
266,Nii Tetteh,62425,Production Technician I,MA,1973-03-26,F,Divorced,2013-05-13,6/29/2015,Voluntarily Terminated,Production,LinkedIn,Exceeds,4.1,Good,2013
268,Kweku Asante,58273,Area Sales Manager,NV,1974-05-09,M,Married,2014-05-12,NULL,Active,Sales,Website,PIP,1.81,Low,2014
282,Kofi Appiah,56339,Production Technician I,MA,1967-06-05,F,Divorced,2013-02-18,NULL,Active,Production,Indeed,Fully Meets,4.21,Excellent,2013
283,Abena Adjei,64397,Area Sales Manager,ND,1968-01-15,M,Separated,2006-01-09,NULL,Active,Sales,Indeed,Exceeds,4.1,Average,2006
311,Kweku Annan,45046,Production Technician I,MA,1978-08-17,F,Widowed,2014-09-29,NULL,Active,Production,LinkedIn,Fully Meets,4.5,Excellent,2014
3,Michael Williams,64955,Production Technician II,MA,1988-09-19,F,Married,2011-07-05,9/24/2012,Voluntarily Terminated,Production,LinkedIn,Fully Meets,3.02,Average,2011
59,Zachary Sanchez,56149,Production Technician I,MA,1987-04-10,F,Single,2016-07-06,NULL,Active,Production,LinkedIn,Fully Meets,4.12,Excellent,2016
62,Erica Simmons,85028,Sr. Network Engineer,CT,1952-01-18,F,Married,2014-11-10,NULL,Active,IT/IS,LinkedIn,Fully Meets,3.1,Excellent,2014
68,Lindsey Russell,61568,Area Sales Manager,AL,1975-11-02,M,Single,2014-09-29,NULL,Active,Sales,Indeed,PIP,1.93,Average,2014
72,Shannon Bailey,51259,Production Technician I,MA,1982-11-15,M,Single,2014-05-12,NULL,Active,Production,Indeed,Fully Meets,4.3,Good,2014
79,Matthew Walker,75188,Production Manager,MA,1973-11-28,F,Single,2014-09-18,NULL,Active,Production,Google Search,Fully Meets,4.52,Good,2014
85,Justin Allen,60340,Production Technician I,MA,1983-09-02,M,Single,2012-04-02,9/27/2018,Terminated for Cause,Production,Google Search,Needs Improvement,5.0,Good,2012
110,Ashley Simmons,74679,IT Support,MA,1989-11-24,M,Married,2015-03-30,NULL,Active,IT/IS,LinkedIn,Fully Meets,4.3,Excellent,2015
134,Rebecca Green,55425,Production Technician I,MA,1986-06-10,F,Single,2012-02-20,NULL,Active,Production,LinkedIn,Fully Meets,4.8,Good,2012
143,Jacob Richardson,60436,Production Technician I,MA,1964-04-13,F,Separated,2014-01-06,NULL,Active,Production,LinkedIn,Fully Meets,5.0,Excellent,2014
159,Ava Bennett,66074,Production Technician II,MA,1979-07-25,F,Divorced,2013-01-07,3/31/2014,Voluntarily Terminated,Production,Indeed,Fully Meets,4.52,Average,2013
182,Jackson Cox,54132,Production Technician I,MA,1977-11-22,F,Married,2011-05-31,NULL,Active,Production,Indeed,Fully Meets,5.0,Good,2011
195,Mila Butler,63430,Production Technician I,MA,1984-07-07,F,Divorced,2013-04-01,NULL,Active,Production,LinkedIn,Fully Meets,4.4,Good,2013
198,Sebastian Smith,87921,Senior BI Developer,MA,1970-04-25,M,Single,2017-02-10,NULL,Active,IT/IS,Indeed,Fully Meets,5.0,Average,2017
225,Ava Lewis,46799,Production Technician I,MA,1984-10-15,F,Divorced,2011-05-16,6/4/2018,Voluntarily Terminated,Production,Google Search,Fully Meets,3.17,Good,2011
226,Ethan Rivera,59472,Production Technician I,MA,1961-06-19,M,Single,2014-01-06,NULL,Active,Production,Employee Referral,Fully Meets,4.8,Average,2014
242,Julian Cox,60627,Production Technician I,MA,1974-12-05,F,Separated,2014-01-06,NULL,Active,Production,Website,Fully Meets,5.0,Good,2014
244,Liam Ward,140920,IT Manager - DB,MA,1973-04-05,M,Single,2013-01-20,NULL,Active,IT/IS,Indeed,Fully Meets,3.6,Excellent,2013
264,Kwabena Boateng,64021,Production Technician I,MA,1968-07-20,F,Married,2012-02-20,NULL,Active,Production,Indeed,PIP,2.4,Low,2012
277,Akua Owusu,60754,Production Technician I,MA,1975-04-03,F,Married,2009-04-27,4/1/2013,Voluntarily Terminated,Production,Diversity Job Fair,Fully Meets,4.5,Excellent,2009
